generation,best_score,avg_score,diversity
201,7164.5500,4442.1142,99.17
202,7164.5500,4369.5407,99.17
203,7164.5500,4347.2625,99.17
204,7164.5500,4325.2059,99.17
205,7164.5500,4327.6621,99.17
206,7164.5500,4328.8751,99.17
207,7164.5500,4342.9131,99.17
208,7164.5500,4320.4197,99.17
209,7164.5500,4320.4603,99.17
210,7164.5500,4301.0031,99.17
211,7164.5500,4294.2077,80.83
212,7164.5500,4308.1414,80.83
213,7164.5500,4321.9405,80.83
214,7164.5500,4300.7480,80.83
215,7164.5500,4314.4504,80.83
216,7164.5500,4295.2697,80.83
217,7164.5500,4274.5049,80.83
218,7164.5500,4253.9359,80.83
219,7164.5500,4233.5602,80.83
220,7164.5500,4210.1264,80.83
221,7164.5500,4189.5061,80.83
222,7164.5500,4166.4933,80.83
223,7164.5500,4149.2571,80.83
224,7164.5500,4129.1998,80.83
225,7164.5500,4109.9519,80.83
226,7164.5500,4111.2879,80.83
227,7164.5500,4092.1447,80.83
228,7164.5500,4092.2196,80.83
229,7164.5500,4106.1216,80.83
230,7164.5500,4042.5805,80.83
231,7164.5500,4025.3783,86.93
232,7164.5500,4007.0234,86.93
233,7164.5500,3985.7422,86.93
234,7164.5500,3967.7251,86.93
235,7164.5500,3981.8081,86.93
236,7164.5500,3963.9663,86.93
237,7164.5500,3947.8124,86.93
238,7164.5500,3930.2736,86.93
239,7164.5500,3914.4302,86.93
240,7164.5500,3894.1902,86.93
241,7164.5500,3878.9842,86.93
242,7164.5500,3861.4534,86.93
243,7164.5500,3846.5161,86.93
244,7164.5500,3848.3447,86.93
245,7164.5500,3789.6653,86.93
246,7164.5500,3773.3118,86.93
247,7164.5500,3758.5698,86.93
248,7164.5500,3741.6445,86.93
249,7164.5500,3755.9066,86.93
250,7164.5500,3746.1863,86.93
251,7164.5500,3729.7733,86.93
252,7164.5500,3714.1012,86.93
253,7164.5500,3697.9646,86.93
254,7164.5500,3679.6821,86.93
255,7164.5500,3664.8692,86.93
256,7164.5500,3679.0379,86.93
257,7164.5500,3663.8559,86.93
258,7164.5500,3648.2451,86.93
259,7164.5500,3633.2849,86.93
260,7164.5500,3615.6826,86.93
261,7164.5500,3600.9930,86.93
262,7164.5500,3587.9933,86.93
263,7164.5500,3572.9885,86.93
264,7164.5500,3558.6391,86.93
265,7164.5500,3572.7247,86.93
266,7164.5500,3558.4880,86.93
267,7164.5500,3559.8531,86.93
268,7164.5500,3507.2955,86.93
269,7164.5500,3507.3177,86.93
270,7164.5500,3494.4014,86.93
271,7164.5500,3480.6083,86.93
272,7164.5500,3466.9427,86.93
273,7164.5500,3415.5460,86.93
274,7164.5500,3415.6277,86.93
275,7164.5500,3429.8822,86.93
276,7164.5500,3444.0287,86.93
277,7164.5500,3430.7074,86.93
278,7164.5500,3414.8730,86.93
279,7164.5500,3364.6300,86.93
280,7164.5500,3378.8088,86.93
281,7164.5500,3380.4122,86.93
282,7164.5500,3367.5256,86.93
283,7164.5500,3354.2264,86.93
284,7164.5500,3341.1727,86.93
285,7164.5500,3328.9076,86.93
286,7164.5500,3329.2018,86.93
287,7164.5500,3343.2507,114.13
288,7164.5500,3331.8026,114.13
289,7164.5500,3321.1936,114.13
290,7164.5500,3321.2129,114.13
291,7164.5500,3310.1387,114.13
292,7164.5500,3299.2230,114.13
293,7164.5500,3287.0456,114.13
294,7164.5500,3288.0981,114.13
295,7164.5500,3276.0042,114.13
296,7164.5500,3265.8264,114.13
297,7164.5500,3279.7009,114.13
298,7164.5500,3265.3003,114.13
299,8124.1875,3268.7033,114.13
300,8124.1875,3221.8174,114.13
300,8124.1875,3221.8174,114.13
301,8124.1875,3209.6870,114.13
302,8124.1875,3209.8920,114.13
303,8124.1875,3199.5417,114.13
304,8124.1875,3202.1295,114.13
305,8124.1875,3202.2192,114.13
306,8124.1875,3203.5198,114.13
307,8124.1875,3204.0653,114.13
308,8124.1875,3204.3687,114.13
309,8124.1875,3158.1996,114.13
310,8124.1875,3148.1377,114.13
311,8124.1875,3136.2623,114.13
312,8124.1875,3138.6887,114.13
313,8124.1875,3127.0557,114.13
314,8124.1875,3116.9848,114.13
315,8124.1875,3118.8555,114.13
316,8124.1875,3132.7582,86.22
317,8124.1875,3121.7347,86.22
318,8124.1875,3076.9540,86.22
319,8124.1875,3066.1953,86.22
320,8124.1875,3021.9031,86.22
321,8124.1875,3010.9398,86.22
322,8124.1875,3000.5120,86.22
323,8124.1875,3014.4853,86.22
324,8124.1875,3005.2575,86.22
325,8124.1875,3005.7799,86.22
326,8124.1875,3007.6462,86.22
327,8124.1875,3004.6271,86.22
328,8124.1875,2995.2321,86.22
329,8124.1875,2986.1906,86.22
330,8124.1875,2976.0511,86.22
331,8124.1875,2977.0167,86.22
332,8124.1875,2990.7915,86.22
333,8124.1875,2978.4241,86.22
334,8124.1875,2992.1043,86.22
335,8124.1875,2949.7847,86.22
336,8124.1875,2942.3830,86.22
337,8124.1875,2956.0469,86.22
338,8124.1875,2956.4548,86.22
339,8124.1875,2946.6400,86.22
340,8124.1875,2948.8825,86.22
341,8124.1875,2949.9110,86.22
342,8124.1875,2940.4553,86.22
343,8124.1875,2928.5268,86.22
344,8124.1875,2928.9879,86.22
345,8124.1875,2919.3550,86.22
346,8124.1875,2919.6130,86.22
347,8124.1875,2921.3274,86.22
348,8124.1875,2880.1766,86.22
349,8124.1875,2870.7599,86.22
350,8124.1875,2862.5129,86.22
351,8124.1875,2852.7346,86.22
352,8124.1875,2843.1872,86.22
353,8124.1875,2833.6997,86.22
354,8124.1875,2824.5753,86.22
355,8124.1875,2815.5078,86.22
356,8124.1875,2806.4966,86.22
357,8124.1875,2795.5281,86.22
358,8124.1875,2795.5626,86.22
359,8124.1875,2795.6861,86.22
360,8124.1875,2786.1593,86.22
361,8124.1875,2787.6563,86.22
362,8124.1875,2801.1237,86.22
363,8124.1875,2801.4228,86.22
364,8124.1875,2762.1577,86.22
365,8124.1875,2723.1297,86.22
366,8124.1875,2736.6707,86.22
367,8124.1875,2728.0908,86.22
368,8124.1875,2728.9801,86.22
369,8124.1875,2721.5787,86.22
370,8124.1875,2713.4643,86.22
371,8124.1875,2675.1737,86.22
372,8124.1875,2676.2477,86.22
373,8124.1875,2667.9523,86.22
374,8124.1875,2681.4152,86.22
375,8124.1875,2674.2183,86.22
376,8124.1875,2666.0030,86.22
377,8124.1875,2657.8365,86.22
378,8124.1875,2658.0200,86.22
379,8124.1875,2647.8447,86.22
380,8124.1875,2610.5383,86.22
381,8124.1875,2603.6557,86.22
382,8124.1875,2595.7679,86.22
383,8124.1875,2596.0530,86.22
384,8124.1875,2588.2104,86.22
385,8124.1875,2580.0137,86.22
386,8124.1875,2571.8648,86.22
387,8124.1875,2570.5025,86.22
388,8124.1875,2573.6042,86.22
389,8124.1875,2569.3089,86.22
390,8124.1875,2561.2539,86.22
391,8124.1875,2553.2525,86.22
392,8124.1875,2545.6899,86.22
393,8124.1875,2538.8514,86.22
394,8124.1875,2531.3729,86.22
395,8124.1875,2495.7724,86.22
396,8124.1875,2489.2872,86.22
397,8124.1875,2483.4257,86.22
398,8124.1875,2475.8013,86.22
399,8124.1875,2468.6049,86.22
400,8124.1875,2462.4316,86.22
400,8124.1875,2462.4316,86.22
401,8124.1875,2455.3127,86.22
402,8124.1875,2449.3630,86.22
403,8124.1875,2414.7815,86.22
404,8124.1875,2415.4587,86.22
405,8124.1875,2408.1423,86.22
406,8124.1875,2408.2599,86.22
407,8124.1875,2401.3694,86.22
408,8124.1875,2400.5444,86.22
409,8124.1875,2393.9747,86.22
410,8124.1875,2360.0186,86.22
411,8124.1875,2360.4326,86.22
412,8124.1875,2326.6609,86.22
413,8124.1875,2327.7452,86.22
414,8124.1875,2327.8648,86.22
415,8124.1875,2328.1304,86.22
416,8124.1875,2343.9235,86.22
417,8124.1875,2338.2879,86.22
418,8124.1875,2332.8166,86.22
419,8124.1875,2326.0162,86.22
420,9860.1437,2333.3016,86.22
421,9860.1437,2334.1669,86.22
422,9860.1437,2327.2736,86.22
423,9860.1437,2294.1385,86.22
424,9860.1437,2286.8549,86.22
425,9860.1437,2299.8969,86.22
426,9860.1437,2291.6805,86.22
427,9860.1437,2292.6160,86.22
428,9860.1437,2287.1175,86.22
429,9860.1437,2254.5283,86.22
430,9860.1437,2246.4972,86.22
431,9860.1437,2248.5745,86.22
432,9860.1437,2242.4144,86.22
433,9860.1437,2237.0567,86.22
434,9860.1437,2231.6540,86.22
435,9860.1437,2232.5748,86.22
436,9860.1437,2233.3427,86.22
437,9860.1437,2228.2016,86.22
438,9860.1437,2230.0213,86.22
439,9860.1437,2223.6012,86.22
440,9860.1437,2216.9804,86.22
441,9860.1437,2185.2480,86.22
442,9860.1437,2180.2725,86.22
443,9860.1437,2148.7989,86.22
444,9860.1437,2117.4876,86.22
445,9860.1437,2112.7160,86.22
446,9860.1437,2081.6603,86.22
447,9860.1437,2082.4723,86.22
448,9860.1437,2075.1775,86.22
449,9860.1437,2088.1606,86.22
450,9860.1437,2057.4019,86.22
451,9860.1437,2058.3500,86.22
452,9860.1437,2053.6499,86.22
453,9860.1437,2049.1209,86.22
454,9860.1437,2049.7864,86.22
455,9860.1437,2051.1991,86.22
456,9860.1437,2045.3312,86.22
457,9860.1437,2058.2259,86.22
458,9860.1437,2052.8381,86.22
459,9860.1437,2022.6305,86.22
460,9860.1437,1992.5740,86.22
461,9860.1437,1988.3832,86.22
462,9860.1437,1983.9506,86.22
463,9860.1437,1985.0196,86.22
464,9860.1437,1979.5401,86.22
465,9860.1437,1979.6988,86.22
466,9860.1437,1972.8647,86.22
467,9860.1437,1972.8672,86.22
468,9860.1437,1968.4737,86.22
469,9860.1437,1938.9972,86.22
470,9860.1437,1934.0215,86.22
