generation,best_score,avg_score,diversity
224,1599.7549,1004.3338,24.95
225,1599.7549,1006.9684,24.95
226,1599.7549,1009.5798,24.95
227,1599.7549,1012.1682,24.95
228,1599.7549,1014.7341,24.95
229,1599.7549,1010.3223,24.95
230,1599.7549,1012.8740,24.95
231,1599.7549,1010.7909,24.95
232,1599.7549,1013.3186,24.95
233,1599.7549,1015.8248,24.95
234,1599.7549,1018.3096,24.95
235,1599.7549,1020.7733,24.95
236,1599.7549,1023.2163,24.95
237,1599.7549,1025.6387,24.95
238,1599.7549,979.5105,24.95
239,1599.7549,982.0949,24.95
240,1599.7549,984.6578,24.95
241,1599.7549,987.1995,24.95
242,1599.7549,989.7203,24.95
243,1599.7549,987.5085,24.95
244,1599.7549,990.0075,24.95
245,1599.7549,992.4861,24.95
246,1599.7549,994.9447,24.95
247,1599.7549,997.3835,24.95
247,1599.7549,997.3835,24.95
248,1599.7549,999.8026,8.32
249,1599.7549,1002.2024,8.32
250,1599.7549,1004.5831,8.32
251,1599.7549,1006.9449,8.32
252,1599.7549,1002.9254,8.32
253,1599.7549,1005.2751,8.32
254,1599.7549,1003.0977,8.32
255,1599.7549,1005.4284,8.32
256,1599.7549,1007.7410,8.32
257,1599.7549,1005.5794,8.32
258,1599.7549,963.0906,8.32
259,1599.7549,965.5394,8.32
260,1599.7549,967.9693,8.32
261,1599.7549,970.3807,8.32
262,1599.7549,972.7738,8.32
263,1599.7549,970.0759,8.32
264,1599.7549,966.4153,8.32
265,1599.7549,968.7962,8.32
266,1599.7549,971.1594,8.32
267,1599.7549,973.5049,8.32
268,1599.7549,975.8330,8.32
269,1599.7549,973.6884,8.32
270,1599.7549,933.1987,8.32
271,1599.7549,931.4224,8.32
272,1599.7549,929.6548,8.32
273,1599.7549,932.1004,0.00
274,1599.7549,930.3475,0.00
275,1599.7549,932.7729,0.00
276,1599.7549,929.7205,0.00
277,1599.7549,932.1307,0.00
278,1599.7549,930.4028,0.00
279,1599.7549,891.3692,0.00
280,1599.7549,852.6134,0.00
281,1599.7549,849.5900,0.00
282,1599.7549,852.2408,0.00
283,1599.7549,849.2047,0.00
284,1599.7549,847.5256,0.00
285,1599.7549,850.1558,0.00
286,1599.7549,852.7676,0.00
287,1599.7549,852.7631,0.00
288,1599.7549,855.3478,0.00
289,1599.7549,817.9191,0.00
290,1599.7549,820.6058,0.00
291,1599.7549,823.2741,0.00
292,1599.7549,820.4302,0.00
293,1599.7549,823.0809,0.00
294,1599.7549,821.8164,0.00
295,1599.7549,824.4446,0.00
296,1599.7549,827.0550,0.00
297,1599.7549,829.6480,0.00
298,1599.7549,832.2236,0.00
299,1599.7549,834.7820,0.00
300,1599.7549,837.3235,0.00
301,1599.7549,839.8481,0.00
302,1599.7549,804.0763,0.00
303,1599.7549,806.6937,0.00
304,1599.7549,809.2939,0.00
305,1599.7549,806.6921,0.00
306,1599.7549,809.2754,0.00
307,1599.7549,808.1091,0.00
308,1599.7549,807.8346,0.00
309,1599.7549,810.3892,0.00
310,1599.7549,812.9273,0.00
311,1599.7549,815.4492,0.00
312,1599.7549,817.9550,0.00
313,1599.7549,820.4448,0.00
314,1599.7549,817.9590,0.00
315,1599.7549,820.4330,0.00
316,1599.7549,822.8915,0.00
317,1599.7549,825.3344,0.00
318,1599.7549,827.7621,0.00
319,1599.7549,830.1746,0.00
320,1599.7549,832.5720,0.00
321,1599.7549,834.9546,0.00
322,1599.7549,837.3224,0.00
323,1599.7549,837.2171,0.00
324,1599.7549,839.5634,0.00
325,1599.7549,838.6126,0.00
326,1599.7549,840.9402,0.00
327,1599.7549,841.0355,0.00
328,1599.7549,843.3486,0.00
329,1599.7549,845.6477,0.00
330,1599.7549,847.9329,0.00
331,1599.7549,846.6454,0.00
332,1599.7549,848.9138,0.00
333,1599.7549,847.6628,0.00
334,1599.7549,849.9146,0.00
335,1599.7549,852.1530,0.00
336,1599.7549,854.3780,0.00
337,1599.7549,856.5898,0.00
338,1599.7549,858.7885,0.00
339,1599.7549,860.9742,0.00
340,1599.7549,863.1471,0.00
341,1599.7549,865.3072,0.00
342,1599.7549,867.4547,0.00
343,1599.7549,864.8966,0.00
344,1599.7549,867.0328,0.00
345,1599.7549,865.8241,0.00
346,1599.7549,867.9453,0.00
347,1599.7549,866.6501,0.00
348,1599.7549,868.7567,0.00
349,1599.7549,837.6170,0.00
350,1599.7549,839.7945,0.00
351,1599.7549,841.9596,0.00
352,1599.7549,844.1125,0.00
353,1599.7549,846.2531,0.00
354,1599.7549,845.1339,0.00
355,1599.7549,844.0210,0.00
356,1599.7549,842.7041,0.00
357,1599.7549,844.8247,0.00
358,1599.7549,846.9334,0.00
359,1599.7549,849.0304,0.00
360,1599.7549,851.1157,0.00
361,1599.7549,853.1895,0.00
362,1599.7549,823.2111,0.00
363,1599.7549,825.3503,0.00
364,1599.7549,823.0554,0.00
365,1599.7549,825.1834,0.00
366,1599.7549,827.2997,0.00
367,1599.7549,829.4045,0.00
368,1599.7549,831.4978,0.00
369,1599.7549,833.5798,0.00
370,1599.7549,835.6506,0.00
371,1599.7549,837.7101,0.00
372,1599.7549,839.7586,0.00
373,1599.7549,837.4805,0.00
374,1599.7549,839.5186,0.00
375,1599.7549,841.5459,0.00
376,1599.7549,843.5624,0.00
377,1599.7549,845.5683,0.00
378,1599.7549,844.5219,0.00
379,1599.7549,843.8625,0.00
380,1599.7549,842.8230,0.00
381,1599.7549,841.6524,0.00
382,1599.7549,813.2737,0.00
383,1599.7549,815.3272,0.00
384,1599.7549,814.1810,0.00
385,1599.7549,816.2215,0.00
386,1599.7549,818.2514,0.00
387,1599.7549,820.2707,0.00
387,1599.7549,820.2707,0.00
388,1599.7549,820.3512,0.00
389,1599.7549,822.3548,0.00
390,1599.7549,824.3481,0.00
391,1599.7549,826.3312,0.00
392,1599.7549,828.3043,0.00
393,1599.7549,826.1712,0.00
394,1599.7549,828.1346,0.00
395,1599.7549,830.0880,0.00
396,1599.7549,832.0316,0.00
397,1599.7549,833.9655,0.00
398,1599.7549,835.8896,0.00
399,1599.7549,837.8040,0.00
400,1599.7549,836.5567,0.00
401,1599.7549,835.6520,0.00
402,1599.7549,837.5527,0.00
403,1599.7549,839.4441,0.00
404,1599.7549,838.3604,0.00
405,1599.7549,840.2404,0.00
406,1599.7549,839.4753,0.00
407,1599.7549,841.3433,0.00
408,1599.7549,843.2022,0.00
409,1599.7549,843.3958,0.00
410,1599.7549,845.2451,0.00
411,1599.7549,847.0854,0.00
412,1599.7549,848.9167,0.00
413,1599.7549,850.7391,0.00
414,1599.7549,852.5527,0.00
415,1599.7549,854.3575,0.00
416,1599.7549,856.1537,0.00
417,1599.7549,857.9412,0.00
418,1599.7549,856.6154,0.00
419,1599.7549,830.6451,0.00
420,1599.7549,804.7987,0.00
421,1599.7549,806.6914,0.00
422,1599.7549,808.5752,0.00
423,1599.7549,810.4500,0.00
424,1599.7549,812.3160,0.00
425,1599.7549,786.8176,0.00
426,1599.7549,785.8298,0.00
427,1599.7549,760.5133,0.00
428,1599.7549,762.4788,0.00
429,1599.7549,764.4350,0.00
430,1599.7549,766.3821,0.00
431,1599.7549,768.3202,0.00
432,1599.7549,770.2493,0.00
433,1599.7549,769.5081,0.00
434,1599.7549,771.4255,0.00
435,1599.7549,773.3341,0.00
436,1599.7549,771.5333,0.00
437,1599.7549,773.4329,0.00
438,1599.7549,775.3238,0.00
439,1599.7549,777.2061,0.00
440,1599.7549,779.0798,0.00
441,1599.7549,780.9449,0.00
442,1599.7549,782.8017,0.00
443,1599.7549,758.4084,0.00
444,1599.7549,760.3076,0.00
445,1599.7549,762.1983,0.00
446,1599.7549,764.0804,0.00
447,1599.7549,765.9542,0.00
448,1599.7549,765.2703,0.00
449,1599.7549,767.1330,0.00
450,1599.7549,768.9874,0.00
451,1599.7549,770.8335,0.00
452,1599.7549,769.1712,0.00
453,1599.7549,745.3478,0.00
454,1599.7549,745.2991,0.00
455,1599.7549,747.1812,0.00
456,1599.7549,749.0550,0.00
457,1599.7549,750.9206,0.00
458,1599.7549,752.7780,0.00
459,1599.7549,751.5196,0.00
460,1599.7549,753.3676,0.00
