generation,best_score,avg_score,diversity
204,1092.1537,-647.4453,20.60
205,1092.1537,-648.1409,20.60
206,1092.1537,-643.8445,20.60
207,1092.1537,-640.9318,20.60
208,1092.1537,-639.2558,20.60
209,1092.1537,-637.5728,20.60
210,1092.1537,-634.7912,20.60
211,1092.1537,-633.1896,20.60
212,1092.1537,-632.6417,20.60
213,1092.1537,-630.1961,20.60
214,1092.1537,-630.9658,20.60
215,1092.1537,-630.1429,20.60
216,1092.1537,-626.1907,20.60
217,1092.1537,-619.4815,20.60
218,1092.1537,-617.9917,20.60
219,1092.1537,-615.3216,20.60
220,1092.1537,-609.7608,20.60
221,1092.1537,-607.8949,20.60
222,1092.1537,-605.5773,20.60
223,1429.9713,-602.1568,20.60
224,1429.9713,-601.0763,20.60
225,1429.9713,-598.5401,20.60
226,1429.9713,-597.1694,20.60
227,1429.9713,-595.8318,20.60
228,1429.9713,-594.5498,20.60
229,1760.5638,-588.2533,20.60
230,1760.5638,-576.5448,20.60
231,1760.5638,-574.1281,20.60
232,1760.5638,-572.8794,20.60
233,1760.5638,-564.9302,20.60
234,1760.5638,-564.2323,20.60
235,1760.5638,-562.2508,20.60
236,1760.5638,-560.4942,20.60
237,1760.5638,-553.5161,20.60
238,1760.5638,-546.3656,20.60
239,1760.5638,-547.8606,20.60
240,1760.5638,-546.2472,20.60
241,1760.5638,-537.9622,20.60
242,1760.5638,-538.1285,20.60
243,1760.5638,-538.0901,20.60
244,2500.1575,-522.8989,20.60
245,2500.1575,-521.3353,20.60
246,2500.1575,-522.6289,20.60
247,2500.1575,-519.1352,20.60
248,2500.1575,-518.3194,20.60
249,2500.1575,-517.6440,20.60
250,2500.1575,-515.7141,20.60
251,2500.1575,-511.6628,20.60
252,2500.1575,-502.6972,20.60
253,2500.1575,-501.1490,20.60
254,2500.1575,-500.4939,20.60
255,2500.1575,-488.2377,20.60
256,2500.1575,-487.8935,20.60
257,2500.1575,-487.6462,72.87
258,2500.1575,-484.4921,72.87
259,2500.1575,-483.0554,72.87
260,2500.1575,-478.5936,72.87
261,2500.1575,-477.4925,72.87
262,2500.1575,-477.8618,72.87
263,2500.1575,-476.8240,72.87
264,2500.1575,-467.8688,72.87
265,2868.7663,-466.1301,72.87
266,2868.7663,-463.0800,72.87
267,2868.7663,-460.9158,72.87
268,2868.7663,-459.4451,72.87
269,2868.7663,-460.9514,72.87
270,2868.7663,-460.9041,72.87
271,2868.7663,-457.5788,72.87
272,2868.7663,-455.8572,72.87
273,2868.7663,-454.7511,72.87
274,2868.7663,-453.3100,72.87
275,2868.7663,-452.1267,72.87
276,2868.7663,-451.8389,72.87
277,2868.7663,-444.5203,72.87
278,2868.7663,-447.0871,72.87
279,2868.7663,-447.0288,72.87
280,2868.7663,-448.4965,72.87
