generation,best_score,avg_score,diversity
220,426.2375,179.7931,17.32
221,426.2375,178.4378,17.32
222,426.2375,174.1148,17.32
223,426.2375,172.9479,17.32
224,426.2375,174.0787,17.32
225,426.2375,172.9223,17.32
226,426.2375,171.7761,17.32
227,426.2375,170.6401,17.32
228,426.2375,169.5140,17.32
229,426.2375,170.6351,17.32
230,426.2375,169.5188,17.32
231,426.2375,167.9913,17.32
232,426.2375,166.8961,17.32
233,426.2375,165.8102,17.32
234,426.2375,164.7337,17.32
235,426.2375,165.5126,17.32
236,426.2375,164.4464,17.32
237,426.2375,163.3892,17.32
238,426.2375,162.3409,17.32
239,426.2375,163.4451,17.32
240,426.2375,164.4005,28.15
241,426.2375,165.4870,28.15
242,426.2375,166.5645,28.15
243,426.2375,165.5247,28.15
244,426.2375,164.4934,28.15
245,426.2375,163.4706,28.15
246,426.2375,164.5387,28.15
247,426.2375,163.5240,28.15
248,426.2375,162.5174,28.15
249,426.2375,163.5765,28.15
250,426.2375,162.5778,28.15
251,426.2375,161.5870,28.15
252,426.2375,160.6041,28.15
253,426.2375,159.6290,28.15
254,426.2375,158.6615,28.15
255,426.2375,157.7016,28.15
256,426.2375,156.7492,28.15
257,426.2375,157.7978,28.15
258,426.2375,158.8383,25.48
259,426.2375,157.8926,25.48
260,426.2375,158.9247,25.48
261,426.2375,157.6134,25.48
262,426.2375,156.6831,25.48
263,426.2375,155.7600,25.48
264,426.2375,156.7845,25.48
265,426.2375,155.8679,25.48
266,426.2375,156.5894,25.48
267,426.2375,118.5535,25.48
268,426.2375,117.4271,25.48
269,426.2375,118.5750,38.78
270,426.2375,119.7145,38.78
271,426.2375,118.9551,38.78
272,426.2375,118.2011,38.78
273,426.2375,119.3295,38.78
274,426.2375,117.8620,38.78
275,426.2375,117.1202,38.78
276,426.2375,116.3839,38.78
277,426.2375,117.1142,38.78
278,426.2375,118.2262,38.78
279,426.2375,119.3302,38.78
280,426.2375,118.5965,38.78
281,426.2375,117.8680,38.78
282,426.2375,117.1447,38.78
283,426.2375,114.1456,38.78
284,426.2375,113.4405,38.78
285,426.2375,114.5380,38.78
286,426.2375,113.8365,38.78
287,426.2375,114.9250,38.78
288,426.2375,114.2269,38.78
289,426.2375,113.5337,38.78
290,426.2375,112.8453,38.78
291,426.2375,111.8276,38.78
292,426.2375,112.7897,38.78
293,426.2375,111.7790,38.78
294,426.2375,108.8384,38.78
295,426.2375,108.1775,38.78
296,426.2375,109.1929,38.78
297,426.2375,110.1477,38.78
298,426.2375,109.4891,38.78
299,426.2375,108.8350,38.78
300,426.2375,108.1852,38.78
300,426.2375,108.1852,38.78
301,426.2375,107.5397,38.78
302,426.2375,106.8985,38.78
303,426.2375,106.2615,38.78
304,426.2375,105.6287,38.78
305,426.2375,105.0001,38.78
306,426.2375,104.3755,38.78
307,426.2375,103.7551,38.78
308,426.2375,103.1386,38.78
309,426.2375,102.5262,38.78
310,426.2375,103.3173,38.78
311,426.2375,102.7082,38.78
312,426.2375,100.0233,38.78
313,426.2375,99.4287,38.78
314,1412.2562,103.6096,38.78
315,1412.2562,104.6338,38.78
316,1412.2562,104.0302,38.78
317,1412.2562,103.1238,38.78
318,1412.2562,104.0346,38.78
319,1412.2562,103.4385,38.78
320,1412.2562,102.8462,38.78
321,1412.2562,101.9547,38.78
322,1412.2562,101.3707,38.78
323,1412.2562,102.3764,38.78
324,1412.2562,101.7947,38.78
325,1412.2562,101.2165,38.78
326,1412.2562,100.3437,38.78
327,1412.2562,99.7735,38.78
328,1412.2562,100.7688,38.78
329,1412.2562,101.7581,38.78
330,1412.2562,101.0869,38.78
331,1412.2562,100.5214,38.78
332,1412.2562,70.1011,38.78
333,1412.2562,69.5310,38.78
334,1412.2562,70.5990,38.78
335,1412.2562,70.1312,38.78
336,1412.2562,69.6662,38.78
337,1412.2562,69.2040,38.78
338,1412.2562,68.7445,38.78
339,1412.2562,68.0009,38.78
340,1412.2562,67.2617,38.78
341,1412.2562,66.8120,38.78
342,1412.2562,67.5484,38.78
343,1412.2562,67.1005,38.00
344,1412.2562,66.6551,38.00
345,1412.2562,66.2123,38.00
346,1412.2562,65.1563,38.00
347,1412.2562,64.7204,38.00
348,1412.2562,65.7592,38.00
349,1412.2562,65.3241,38.00
350,1412.2562,64.8914,38.00
351,1412.2562,62.4808,38.00
352,1412.2562,62.7577,38.00
353,1412.2562,63.0642,38.00
354,1412.2562,60.7464,38.00
355,1412.2562,60.3304,38.00
356,1412.2562,59.6421,38.00
357,1412.2562,59.2315,38.00
358,1412.2562,58.8233,38.00
359,1412.2562,58.4173,38.00
360,1412.2562,59.4448,38.00
361,1412.2562,59.0393,38.00
362,1412.2562,60.0593,38.00
363,1412.2562,63.8050,38.00
364,1412.2562,63.8982,38.00
365,1412.2562,64.5124,38.00
366,1412.2562,63.6706,38.00
367,1412.2562,63.2592,38.00
368,1412.2562,66.9550,38.00
369,1412.2562,70.6307,38.00
370,1412.2562,73.3248,38.00
371,1412.2562,72.8903,38.00
372,1412.2562,70.7042,38.00
373,1412.2562,71.6677,38.00
374,1412.2562,75.2909,38.00
375,1412.2562,76.2369,38.00
376,1412.2562,79.8283,38.00
377,1412.2562,79.1228,38.00
378,1412.2562,82.6874,38.00
379,1412.2562,82.2372,38.00
380,1412.2562,83.1521,38.00
381,1412.2562,82.7032,38.00
382,1412.2562,83.5657,38.00
383,1412.2562,82.8624,38.00
384,1412.2562,82.4178,38.00
385,1412.2562,81.9754,38.00
386,1412.2562,82.8767,38.00
387,1412.2562,82.4354,38.00
388,1412.2562,81.9965,38.00
389,1412.2562,81.3074,38.00
390,1412.2562,84.7554,38.00
391,1412.2562,88.1857,38.00
392,1412.2562,87.7365,38.00
393,1412.2562,87.0397,38.00
394,1412.2562,84.8133,38.00
395,1412.2562,84.1275,38.00
